item	subitem	resolution	binary_evidence	corroborated	confidence
F1-IR	+32 (prior 'control_word')	CORRECTED: +32 is a RESERVED/DEAD u32 (zero-init only), NOT a SASS control word. Exhaustive sweep of all ~56 funcs using the 0xFFFFCFFF opcode mask found NO function that reads/writes instr+32 on the same object it reads instr+72 from. All superficial +32 hits are OTHER objects (worklist deque head, std::vector size/cap, FNV hashmap, 32B-stride encoder-IR, or VREG coalesce_chain). The SASS control word (stall/yield/barrier/reuse) lives INSIDE the +40 sched record, not at +32.	sub_7DD010@0x7dd043 movl $0,0x20(%rax) (u32); re-zeroed sub_82E810:132, sub_911030:1144; not copied by clone sub_934DD0; no opcode-co-located reader	binary: +32 is a reserved/unused u32 (no inline control field)	high (reserved); was LOW due to instr-vs-vreg +32 aliasing
F1-IR	+40 sched_slot	CONFIRMED + UPGRADE LOW->HIGH: +40 is a QWORD POINTER to a lazily-allocated, POLYMORPHIC (vtable@0) per-inst scheduling/latency/barrier record (NOT a scalar). NULL until the scheduler attaches it; re-attached (not copied) on clone. The record holds: slot index at (*(+40))+24, stall cycles at +144, SASS barrier bits at +168 (&0x3E, >>1&0x1F) / +172 (flags). This IS the SASS scheduling control state (the field prior work expected at +32).	sub_7DD010@0x7dd05b movq $0,0x28(%rax) (u64); lazy alloc sub_7DF950 (if(!*(a1+40)) *(a1+40)=pool-alloc via ctx+1584); vtable dispatch sub_734D20:63 v9=*(i+40),(*(*v9+80))(v9,..); slot idx *(int*)(*(instr+40)+24) sub_8CBFB0:61	binary mechanism confirmed: lazily-allocated SchedInfo pointer (init NULL, allocated on first scheduling use via the scheduler pool, dereferenced through a getter)	high
F1-IR	operand packed-word bit31	bit31 = OPD_DEF (is-destination) flag, NOT sign/negate. CORRECTION to prior tsv.	instr+84+8*i lo-word bit31 set on dest operands (dest-first ordering)	binary: bit31 = OPD_DEF mask 0x80000000	high
F1-IR	operand packed-word kind (bits28-30)	3-bit DAG-IR kind enum: 0=Unknown,1=VReg(register),2=Imm32,3=Imm64,4=Lab(label),5=Sym(symbol/const-bank),6=Info(subop/modifier/pred-cond),7=Null(holes/sentinel). DIVERGES from prior wiki ir/instructions.md behavioral labels (which had 2=predicate,3=uniform-reg,4=address,7=immediate) on values 2,3,4,7 -> binary must arbitrate the 13.0.88 lowered encoding; the DAG-IR kind enum is the candidate and matches the two binary anchors (1=register, 7=sentinel).	bits 28-30 = OPD_KIND_MASK 0x70000000 (sub_7E0030:153, sub_7E6090:257); type==1 register dominant; type==7 (^0x70000000) sentinel	DAG-level kind enum confirmed in binary; wiki-label divergence FLAGGED	high (DAG enum) / med (exact 13.0.88 lowered labels)
F1-ISel	32B descriptor kinds 3,4,5,7-16	RESOLVED (constructor-grounded; this is the ISel/SASS-template operand record, distinct from the 8 DAG-packed kinds). Built by 4 ctors appending to list+32 (stride 32, count list+40): sub_9B3C20(kind,id,secondary)=2&10; sub_9B3D60(kind,id)=1&9; sub_9B3E90(kind,val,signmode@+16,width@+17)=3(immediate, sign-ext via sub_9B3C00); sub_9B3FA0(kind,val@+8)=13. Kind map: 3=Immediate(literal); 9=enumerated/condition predicate(3-bit from opcode subfield via value table); 10=register operand alt source slot(RZ=1023 sentinel); 13=address-base/small-index(5-bit); 14=mem addr offset form A; 15=immediate parallel to 3; 16=mem addr offset form B; 4/5/7/8/11=dest/register-form & bare-operand variants (match-only, never emitted). Alt-pair families: {3,15} immediate, {14,16} address-offset, dest twins 7<->kind2-lane / 11<->kind10-lane.	emit histogram (encoders): k2=4361,k1=3229,k10=2148,k3=1339,k9=931,k0=40(none/sep),k13=7; kinds 4,5,7,8,11,14,15,16 never emitted (peephole match targets only); ctors sub_9B3C20/D60/E90/FA0, sign-ext sub_9B3C00; matchers sub_B41700/B74FA0/B750F0/B755E0/B75730/B5B390/B5DFD0/B9CD70-D510/BA9D00	binary-only (constructor-grounded; the md-style enum hypothesis is REFUTED)	high (3,9,10) / med (13,14,15,16,7,11) / low (4,5,8)
F1-ISel	descriptor kind 1 vs 2 anchor	OPEN CONFLICT flagged: the sub_B28E* predicate helper bank (sub_B28E20 returns ==1, sub_B28E10 returns ==2) implies 1=register, 2=predicate. But emitter sentinel-width reading implies SWAP (1=predicate-reg with 3-bit/PT=31 sentinel, 2=register with 8-bit/RZ=1023 sentinel). Either the predicate bank tags the textual-printer enum while the constructors tag a different enum, or one label is mislabeled. Resolve by confirming which kind carries the 3-bit-pred vs 8-bit-reg sentinel at sub_9B3C20/sub_9B3D60 emit sites before publishing reg/pred names.	sub_B28E20==1,sub_B28E10==2; emit-site sentinel widths 3-bit(PT 31) vs 8-bit(RZ 1023)	partial	med (structure high, the 1<->2 name binding unresolved)
F4-Enc	category semantics	category = encoding-format / opcode-CLASS family (per functional-unit/opClass), NOT an SM-generation bucket. SM split is carried by WHICH per_sm array is indexed (sm50_7x/75/80_8x/86_89/100), orthogonal to category.	dispatch rows 24B {u64 handler, u64 pad=0, u32 variant, u32 category}; key=(category<<8|variant); per_sm clustered handlers byte-identical except setBits triples	binary: category = opcode-class per functional unit; encoding width 64/128 selects the format-descriptor width	high
F4-Enc	variant semantics	variant = sequential modifier-driven SUB-OPCODE selector within a category (dense enumeration 0x02..0x1b). The alternate-encoding choice is a SEPARATE runtime flag at operand-struct +0x28, not the table variant.	variant runs sequentially per category group; alt path keyed by *(u8*)(op+0x28)!=0 reading extra src +0x34	binary: alt-encoding is a per-class flag (bit 1<<0) on the operand struct, separate from the table variant	high
F4-Enc	encoding_bitfield_lookup field_a	field_a (when field_b==0; 3924/4096 entries) = a .text VA pointer to a per-(opcode,operand-layout) operand-field ENCODER fn that marshals parsed operand fields and tail-calls bit-packer setBits@0x7b9b80 (writes SASS code bitstring at obj+0x220).	5 examples: entry116 field_a=0x1ba4c00 (reads op+0x2c/0x30, writes dst+0x1c/+0x20); 0x1ba4c50/0x1ba4c80/0x1ba4bb0 = N-field variants; 0x1bb2a48 = trampoline	binary: field encoder marshals operand fields then calls the multi-bit-field insert primitive setBits{start,length}	high
F4-Enc	encoding_bitfield_lookup field_b	field_b = operand-field-KIND classifier code (0=none/default; 1..17 = specific operand-field classes; 0xFFFFFFFF = end-of-field-list sentinel; half-sentinels carry only field_b={4,24,28,30} marking special field categories). NOT a raw bit-width.	field_b distribution 0:3961, plus 1-7,14,16,17,24,28,30; descriptor runs {field_a=sub-idx, field_b=kind} bounded by 0xFFFFFFFF	binary: field_b is an encoding-assignment kind code (Table/Const/Field classes)	high
F5-Regalloc	move coalescing model	Conservative interference-checked coalescing, PREFERENCE/BIAS-driven optimistic coloring (NOT pure preference, NOT classic Briggs degree-count). Coalesce candidates are LINKED + pushed on top of the coloring stack; at color time a single point-interference bitvector check gates the merge. Binary per-neighbor interference-list walk validates legality. Gated by knob RegAllocCoalescing.	sub_9AD220 per-neighbor interference walk (lines 230-269), sub_76ABE0 interference test, sub_995840 class/type/affinity compat; knob alloc+441	binary: COALESCED allocation preference, linked coalescing list nodes, a point-interference check at merge time, plus a Briggs-style interference-count test	high
F5-Regalloc	class-6 sub-register selector 5/6/7	Register class 6 = Tensor/Accumulator (MMA/WGMMA). The 5/6/7 are COMPUTED accumulator operand-vector indices (accumulator base operand at operand[numOps - pairAdj - 5], then +1/+2 walk consecutive 32b acc lanes); partition span = (desc & 7)+1 scaled by inst subtype (x2 for subtype 19, /2 for subtype 13). The static "paired low/high/both" meaning lives in a SEPARATE constraint-type switch (ctype 5/6/7 = paired-low/paired-high/aligned-pair), fed by pair_align bits 26-27.	sub_9539C0 acc handler (lines 568-582,1248-1303,1340-1458); (&7)+1 span @1274-1289; sub_91A0F0 pair_align; LiveMask lo/hi	binary: sub-register aliasing model with SAME/TO_HIGH/FROM_HIGH subword aliases and a NONE/LO/HI/ALL live mask	high
