ptx_op	sass_opcode	op_byte	intro_sm	addr_form	operand_fields	completion	notes
ld.global	LDG.E	0x81	sm_70	desc[UR][Rn.64]	sem/sco/cop/sz/E	register	weak default prints bare LDG.E
ld.global.ca	LDG.E.STRONG.SM	0x81	sm_70	desc[UR][Rn.64]	cop=EN sco=CTA->SM sem=STRONG	register	cache-all folds to CTA-scope-strong
ld.global.cg	LDG.E.STRONG.GPU	0x81	sm_70	desc[UR][Rn.64]	cop=EN sco=GPU sem=STRONG	register	bypass-L1 folds to GPU-scope-strong
ld.global.cs	LDG.E.EF	0x81	sm_70	desc[UR][Rn.64]	cop=EF sem=WEAK	register	streaming = evict-first eviction class
ld.global.cv	LDG.E.STRONG.SYS	0x81	sm_70	desc[UR][Rn.64]	cop=EN sco=SYS sem=STRONG	register	volatile/uncached folds to SYS-scope-strong
ld.global.lu	LDG.E.LU	0x81	sm_70	desc[UR][Rn.64]	cop=LU sem=WEAK	register	last-use eviction class
ld.global.L1::evict_first	LDG.E.EF	0x81	sm_75	desc[UR][Rn.64]	cop=EF	register	cop field 3-bit EF=0
ld.global.L1::evict_last	LDG.E.EL	0x81	sm_75	desc[UR][Rn.64]	cop=EL	register	EL=2
ld.global.L1::evict_unchanged	LDG.E.EU	0x81	sm_75	desc[UR][Rn.64]	cop=EU	register	EU=4
ld.global.L1::no_allocate	LDG.E.NA	0x81	sm_75	desc[UR][Rn.64]	cop=NA	register	NA=5 no-allocate
ld.global.relaxed.gpu	LDG.E.STRONG.GPU	0x81	sm_70	desc[UR][Rn.64]	sem=STRONG sco=GPU	register	relaxed maps STRONG (acquire identical print)
ld.global.acquire.gpu	LDG.E.STRONG.GPU	0x81	sm_70	desc[UR][Rn.64]	sem=STRONG sco=GPU	register	acquire == relaxed in printed/encoded form
ld.global.relaxed.cluster	LDG.E.STRONG.GPU	0x81	sm_90	desc[UR][Rn.64]	sem=STRONG sco=GPU	register	cluster scope == GPU scope
ld.global.mmio.relaxed.sys	LDG.E.MMIO.SYS	0x81	sm_70	[Rn.64]	sem=MMIO sco=SYS	register	MMIO bypasses the desc[] addressing path
st.global.wb	STG.E.STRONG.SM	0x86	sm_70	desc[UR][Rn.64]	cop->EN sco=CTA->SM sem=STRONG	posted	write-back = CTA-scope-strong
st.global.cg	STG.E.STRONG.GPU	0x86	sm_70	desc[UR][Rn.64]	sco=GPU sem=STRONG	posted	-
st.global.cs	STG.E.EF	0x86	sm_70	desc[UR][Rn.64]	cop=EF sem=WEAK	posted	streaming store
st.global.wt	STG.E.STRONG.SYS	0x86	sm_70	desc[UR][Rn.64]	sco=SYS sem=STRONG	posted	write-through = SYS-scope-strong
st.global.release.gpu	STG.E.STRONG.GPU	0x86	sm_70	desc[UR][Rn.64]	sem=STRONG sco=GPU	posted	release folds to STRONG+scope
st.global.release.cta	STG.E.STRONG.SM	0x86	sm_70	desc[UR][Rn.64]	sem=STRONG sco=CTA->SM	posted	-
atom.global.add.u32	ATOMG.E.ADD.STRONG.GPU	0xa8	sm_70	desc[UR][Rn.64]	atom_op=ADD(0) sem=STRONG sco=GPU	register	default atomic scope = GPU
atom.global.min.s32	ATOMG.E.MIN.S32.STRONG.GPU	0xa8	sm_70	desc[UR][Rn.64]	atom_op=MIN(1) size=S32	register	-
atom.global.exch.b32	ATOMG.E.EXCH.STRONG.GPU	0xa8	sm_70	desc[UR][Rn.64]	atom_op=EXCH(8)	register	-
atom.global.cas.b32	ATOMG.E.CAS.STRONG.GPU	0xa9	sm_70	[Rn]	cas-opcode (distinct from atom_op)	register	CAS is its own opcode byte 0xa9 not an atom_op value
atom.global.add.f32	ATOMG.E.ADD.F32.FTZ.RN.STRONG.GPU	0xa3	sm_70	desc[UR][Rn.64]	atom_op=ADD fp-type	register	fp atomic low byte differs by type
atom.global.add.acq_rel.gpu	ATOMG.E.ADD.STRONG.GPU	0xa8	sm_70	desc[UR][Rn.64]	sem=STRONG sco=GPU	register	acq_rel folds to STRONG+scope
atom.shared.add.u32	ATOMS.ADD	0x8c	sm_70	[Rn]	atom_op=ADD no sem/sco	register	shared atomics are CTA-local no scope field
atom.shared.cas.b32	ATOMS.CAS	0x8d	sm_70	[Rn]	cas-opcode	register	-
red.global.add.u32	REDG.E.ADD.STRONG.GPU	0x8e	sm_70	desc[UR][Rn.64]	red_op=ADD sem=STRONG sco=GPU	posted	fire-and-forget reduction
red.global.add.f32	REDG.E.ADD.F32.FTZ.RN.STRONG.GPU	0xa6	sm_70	desc[UR][Rn.64]	red_op=ADD fp-type	posted	fp reduction low byte 0xa6
red.shared.add.u32	ATOMS.ADD	0x8c	sm_70	[Rn]	atom_op=ADD dst=RZ	posted	shared reduction = ATOMS with RZ dest (no REDS opcode)
membar.cta	MEMBAR.SC.CTA	0x92	sm_70	-	sem=SC(0) sco=CTA(0)	fence	-
membar.gl	MEMBAR.SC.GPU	0x92	sm_70	-	sem=SC sco=GPU(2)	fence	-
membar.sys	MEMBAR.SC.SYS	0x92	sm_70	-	sem=SC sco=SYS(3)	fence	-
fence.acq_rel.cta	MEMBAR.ALL.CTA	0x92	sm_70	-	sem=ALL(1) sco=CTA	fence	acq_rel = ALL not SC
fence.acq_rel.gpu	MEMBAR.ALL.GPU	0x92	sm_70	-	sem=ALL sco=GPU	fence	-
fence.sc.gpu	MEMBAR.SC.GPU	0x92	sm_70	-	sem=SC sco=GPU	fence	sc = sequential consistency
fence.acq_rel.cluster	MEMBAR.ALL.GPU+ERRBAR+CGAERRBAR	0x92	sm_90	-	sco=GPU + cluster error drain	fence	cluster fence = GPU membar + error barriers
fence.proxy.tensormap::generic	UTMACCTL.IV	0xb9	sm_90	[UR]	tensormap-proxy cache invalidate	fence	publishes on-device tensor-map edits
prefetch.global.L2	CCTL.E.PF2	0x8f	sm_70	-	cctl-subop=PF2	-	-
discard.global.L2	CCTL.E.RML2	0x8f	sm_80	-	cctl-subop=RML2	-	-
