binary_addr	inferred_op	category	fingerprint_evidence	confidence
0x926a30	ptx_constfold_master_dispatch	foldengine	3882-line opcode switch; root of fold cluster; takes __m128/double args; calls 0x9203a0 et al	high
0x9203a0	fold_binary_op (add/sub/mul/div/min/max .f32/.f64)	foldengine	native __m128d: _mm_and_pd/_mm_or_pd/_mm_cmpgt_sd; manual near-even tie bits (0x6000/0x3FFF,0x2000); reads typed imm via 0x91b730	high
0x921820	fold_unary_op (sqrt/cos/lg2/ex2/rcp/round/cvt .f32/.f64)	foldengine	opcode switch: 0xC0->sqrt(), 0x26->cos(), 0x3B->pow(2.0,x), 0x6A->log()/ln2, 0x21/0x44->rint-via-int-cast; native libm	high
0x9229f0	fold_op_variant (typed binary/cvt fold)	foldengine	__m128d arg, calls into 0x91ba60 result-writer; native SSE fold	med
0x923d40	fold_op_variant (cvt/round path)	foldengine	double arg + rounding-mode byte; native fold + manual round bits	med
0x91fcb0	fold_op_variant	foldengine	double arg; calls 0x91b730 decoder + 0x91cdd0 intern	med
0x9202d0	fold_op_thunk	foldengine	20-line wrapper; fetches operand via 0x91a0f0	med
0x91b730	decode_typed_immediate -> host double	f16	reads const pool entry; per-type: t7=f16 via pow(2.0,e-15)+mantissa sum, t6=f32, t19=f64, t31=bf16(<<16); flushes subnormals (denorm->0 keep sign)	high
0x91a0f0	fetch_operand_descriptor	foldengine	returns operand type/index from instruction encoding; called before every decode	high
0x91ba60	write_folded_result_to_pool	foldengine	21-line; stores folded __m128i immediate back; pairs with 0x91cdd0	high
0x91cdd0	intern_f32_immediate_in_constpool	foldengine	scans (a1+440) pool for matching 32-bit value, returns index or appends; memcpy grow	high
0x7db1e0	emit_operand_no_fold (non-const path)	foldengine	called when operand is not a compile-time constant (a8/a10 == 0 branch)	med
0x2a12cb0	sqrt@GLIBC (sqrt.f64/f32 fold kernel)	state	imports.json PLT; called by 0x921820 for opcode 0xC0	high
0x2a12d50	pow@GLIBC (ex2 / f16-exp reconstruction)	state	PLT; called by 0x91b730 (f16 decode) and 0x921820 (ex2)	high
0x2a12b40	floor@GLIBC	state	PLT; rounding fold	high
0x2a12ef8	ceil@GLIBC	state	PLT; rounding fold	high
