block_name	kind	count	source_va_or_note	description
region	metadata	1	0x229C480-0x22A1500 (20608B)	Bounding VA range of the entire WGMMA intrinsic infrastructure region in ptxas .rodata
wgmma_pipeline	pipeline_params + handler vtable	22	0x229C480	WGMMA scheduler tuning struct (pipeline_depth=32, max_pending=128, 8 stage latencies=24, special_latency=300, max_pipeline_length=1000) followed by a 22-slot handler vtable (vtable_va=0x229C4C0), 7 opcode_indices [44,45,43,54,53,52,...] and an 18-entry enum_config selecting per-stage behavior
isel_handler_table	code-pointer table (ISel handlers)	150	0x229C670	150 function pointers into .text — the instruction-selection lowering handlers invoked when the WGMMA opcode dispatcher resolves a wgmma/mma intrinsic to a SASS sequence (all 150 slots are text pointers)
wgmma_warning_strings	diagnostic format strings	10	0x229CB20-0x229D1C8	10 "Potential Performance Loss: wgmma.mma_async instructions are serialized due to ..." printf templates emitted when the pipeline builder cannot keep WGMMA async pipelines overlapped (extern calls, fn-boundary crossing, register pressure, accumulator hazards, divergent WG.DP/WG.AR)
wgmma_config_block	pointer config table	74	0x229D1C8	74-entry table of 8-byte pointers (mostly into 0xACE000 .text/.rodata) — per-shape/per-type WGMMA configuration descriptors consumed by the lowering handlers
intrinsic_handler_table	code-pointer table (intrinsic handlers)	469	0x229D418	469 function pointers into .text mapping each WGMMA-family intrinsic id to its emit handler; 469 are text pointers. Handlers cluster into 15 .text neighborhoods (e.g. 0x85A000:55, 0x868000:44, 0x7D7000:38) reflecting handler groups by shape/dtype
operand_type_vtables	C++ vtables (operand types)	19	0x229E2C0-0x229E8C0	19 vtables for WGMMA operand-type descriptor classes; most have 11 virtual slots pointing into 0xAE5xxx .text (type-classification / validation methods); first table holds packed bitfield descriptors not text pointers
intrinsic_type_names	name pointer table	39	0x229E8C0	39-entry table of pointers, all pointing at the same 0x21CDA50 placeholder ("???") — the human-readable WGMMA intrinsic type-name strings are not present/named in this stripped binary
switch_jump_tables	jump table (opcode dispatch)	739	0x229E9F8-0x22A0110	739-entry switch jump table (738 nonzero) with 128 unique targets; default target 0xAEA750 hit 270 times — the main WGMMA opcode->handler dispatch switch lowered as a computed-goto table
mercury_opcode_enum_tables	u32 enum value tables	100	0x22A0110-0x22A1500	100 small u32 arrays enumerating Mercury (internal IR) opcode ids grouped per WGMMA operation/shape; values range from small ints (8-122) up to ~2800-2930, i.e. dense opcode-id sets the dispatcher maps over
